Event_Date,Time_IN,Time_Out,Time_in_field,Field,Tractor,Operator,Start_tractor_hours,End_tractor_hours,Total_tractor_hours,Field_Operation,Application,Total_application_in_Units,Units,Application_Info,Application_rate_per_ha,Application_batch_nr,Product_Name,Manufacturer
12/09/2018,11:36,12:38,01:02,NW001,JD 6155R Big John,Operator 10,959,960.1,1.1,Mow,,,,,,,,
12/09/2018,12:45,13:15,00:30,NW038,JD 6155R Big John,Operator 10,960.1,960.6,0.5,Mow,,,,,,,,
12/09/2018,14:45,15:35,00:50,NW001,MF 5455 Growler,Operator 3,2451.2,2452.1,0.9,Spreading grass,,,,,,,,
12/09/2018,15:35,16:00,00:25,NW038,MF 5455 Growler,Operator 3,2452.1,2452.4,0.3,Spreading grass,,,,,,,,
13/09/2018,14:45,15:15,00:30,NW038,JD 6210 Little John,Operator 3,7525.2,7525.8,0.6,Rowing up,,,,,,,,
13/09/2018,15:15,16:30,01:15,NW001,JD 6210 Little John,Operator 3,7525.8,7526.9,1.1,Rowing up,,,,,,,,
13/09/2018,17:25,18:55,01:30,NW001,JD 6620 Little Boots,Operator 15,5620.2,5621.6,1.4,Round baling,,,,,,,,
13/09/2018,18:55,19:25,00:30,NW038,JD 6620 Little Boots,Operator 15,5621.6,5622.1,0.5,Round baling,,,,,,,,
20/09/2018,09:00,14:30,05:30,NW001,JD 6620 Little Boots,Operator 11,5873.9,5879.2,5.3,Spread Organic Manure,'Organic FYM',9,mt,,,,,
21/09/2018,09:00,13:15,04:15,NW001,MF 6470,Operator 11,2876.8,2881.6,4.8,Spread Organic Manure,'Organic FYM',6,mt,,,,,
27/09/2018,10:45,13:00,02:15,NW038,MF 6470,Operator 11,2891.4,2893.6,2.2,Spread Organic Manure,'Organic FYM',5,mt,,,,,
01/10/2018,09:50,10:00,00:10,NW001,MF 6470,Operator 11,2894.2,2898.1,3.9,Spread Organic Manure,'Organic FYM',7,mt,,,,,
28/03/2019,10:25,10:45,00:20,NW001,MF 6470,Operator 11,3105.4,3105.9,0.5,Spread Fertiliser,'MultiCut Sulphur 23-4-13-7',1125,kg,(23% N; 4% P2O5; 13% K2O; 7% SO3),347,,,
28/03/2019,11:15,12:00,00:45,NW001,JD 6620 Little Boots,Operator 2,6088.1,6089,0.9,Flat roll,,,,,,,Rolling grass,
28/03/2019,13:00,13:05,00:05,NW038,MF 6470,Operator 11,3107.1,3107.3,0.2,Spread Fertiliser,'Nitram',140,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
29/04/2019,12:05,12:20,00:15,NW001,MF 6470,Operator 11,3149.8,3150.1,0.3,Spread Fertiliser,'MultiCut Sulphur 23-4-13-7',578,kg,(23% N; 4% P2O5; 13% K2O; 7% SO3),174,,,
03/05/2019,13:50,13:55,00:05,NW038,MF 6470,Operator 11,3165.5,3165.6,0.1,Spread Fertiliser,'Nitram',124,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
30/05/2019,11:00,11:10,00:10,NW038,MF 6470,Operator 11,3209.5,3209.7,0.2,Spread Fertiliser,'Nitram',130,kg,(34.5% N; 0% P2O5; 0% K2O; 0% SO3),116,,,
01/06/2019,08:24,10:08,01:44,NW001,JD 6155R Big John,Operator 10,1249,1250.8,1.8,Mow,,,,,,,,
01/06/2019,15:00,16:30,01:30,NW001,MF 5455 Growler,Operator 19,2826.5,2828,1.5,Hay turning,,,,,,,,
03/06/2019,08:45,09:50,01:05,NW001,MF 5455 Growler,Operator 19,2828.1,2829.3,1.2,Hay turning,,,,,,,,
03/06/2019,11:15,12:30,01:15,NW001,JD 6620 Little Boots,Operator 15,6090.8,6091.9,1.1,Spreading grass,,,,,,,,
03/06/2019,11:30,13:15,01:45,NW001,JD 6210 Little John,Operator 3,7674.4,7676,1.6,Rowing up,,,,,,,,
03/06/2019,11:30,16:00,04:30,NW001,JD 6155R Big John,Operator 15,1251.1,1255.6,4.5,Round baling,,,,,,,,
04/06/2019,10:30,11:00,00:30,NW001,MF 6470,Operator 11,3217.6,3218,0.4,Spread Fertiliser,'MultiCut Sulphur 23-4-13-7',658,kg,(23% N; 4% P2O5; 13% K2O; 7% SO3),173,,,
11/07/2019,14:36,15:00,00:24,NW038,JD 6620 Little Boots,Operator 10,6170.2,6170.6,0.4,Drain trim,,,,,,,,
11/07/2019,15:00,16:22,01:22,NW001,JD 6620 Little Boots,Operator 10,6170.6,6171.9,1.3,Drain trim,,,,,,,,
28/08/2019,11:48,14:24,02:36,NW047,JD 6620 Little Boots,Operator 10,6319,6321.6,2.6,Top,,,,,,,,
29/08/2019,10:16,11:31,01:15,NW047,JD 6155R Big John,Operator 10,1421.1,1422.3,1.2,Apply Pesticide,'Glyphosate',,l,Barbarian XL 6.0l/ha,6,,Barbarian XL,
